0.112,26.099,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0,Normal
0.01,25.909,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.016,25.898,17,47104,42340,0,4303,17,343,0,0,0,0,0,888,57344,43440,0,1018,1,888,0,0,0,0,0,Normal
0.012,25.972,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.011,26.163,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.011,25.666,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.009,25.899,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.013,25.684,38,47104,42340,0,8726,38,343,0,0,0,0,0,888,88064,43440,0,1018,1,888,0,0,0,0,0,Normal
0.01,25.909,17,47104,42340,0,1369,38,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.051,25.933,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0,Normal
0.006,25.906,38,47104,42340,0,802192,38,343,70,695,1181,0,23,888,1103872,43440,0,1018,1,888,0,0,0,0,0,Normal
0.007,25.696,38,47104,42340,0,2800296,38,343,253,872,508,0,800,888,5584896,43440,0,1018,1,888,0,0,0,0,0,Normal
0.006,25.894,38,47104,42340,0,1876608,38,343,401,599,1349,0,439,888,6289408,43440,0,1018,1,888,0,0,0,0,0,Normal
0.006,25.931,38,47104,42340,0,2260328,38,343,62,754,1758,0,234,888,10924032,43440,0,1018,1,888,0,0,0,0,0,Normal
0.007,25.794,38,47104,42340,0,363448,38,343,0,330,439,0,24,888,6187008,43440,0,1018,1,888,0,0,0,0,0,Normal
0.007,25.742,38,47104,42340,0,2932200,38,343,105,1194,1571,0,297,888,4415488,43440,0,1018,1,888,0,0,0,0,0,Normal
0.007,25.704,38,47104,42340,0,1954800,38,343,86,1115,786,0,718,888,5521408,43440,0,1018,1,888,0,0,0,0,0,Normal
0.006,25.905,38,47104,42340,0,1759320,38,343,119,824,1254,0,171,888,6367232,43008,0,1018,1,888,0,0,0,0,0,Normal
0.01,25.72,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.015,25.926,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.016,25.682,17,47104,42340,0,8688,17,343,0,0,0,0,0,888,120832,43440,0,1018,1,888,0,0,0,0,0,Normal
0.013,25.943,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.008,25.671,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.01,25.655,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.01,25.664,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.012,25.685,17,47104,42340,0,2934,17,343,0,0,0,0,0,888,61440,43440,0,1018,1,888,0,0,0,0,0,Normal
0.055,25.69,16,49152,42340,0,164,16,164,0,0,0,0,0,16,45056,43440,0,1480,16,64,0,0,0,0,0,Normal
0.006,25.862,38,47104,42340,0,876040,38,343,38,1148,1626,0,59,888,1955840,30720,0,1018,1,888,0,0,0,0,0,Normal
0.005,25.771,38,47104,42340,0,738480,38,343,11,1669,4110,0,122,888,2934784,43440,0,1018,1,888,0,0,0,0,0,Normal
0.006,25.851,38,47104,42340,0,764544,38,343,30,1585,3662,0,76,888,2607104,43440,0,1018,1,888,0,0,0,0,0,Normal
0.006,25.888,38,47104,42340,0,765992,38,343,31,1412,3573,0,32,888,1828864,43440,0,1018,1,888,0,0,0,0,0,Normal
0.006,26.196,38,47104,42340,0,883280,38,343,26,1930,4154,0,407,888,4298752,43440,0,1018,1,888,0,0,0,0,0,Normal
0.006,26.26,38,47104,42340,0,2906136,38,343,8,2057,3721,0,192,888,3807232,43440,0,1018,1,888,0,0,0,0,0,Normal
0.006,26.233,38,47104,42340,0,6255360,38,343,510,1869,5137,0,5133,888,16777216,43440,0,1018,1,888,0,0,0,0,0,Normal
0.006,26.223,38,47104,42340,0,5343120,38,343,668,2768,4767,0,2137,888,9195520,43440,0,1018,1,888,0,0,0,0,0,Normal
0.013,26.197,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
0.009,26.162,17,47104,42340,0,1369,17,343,0,0,0,0,0,888,49152,43440,0,1018,1,888,0,0,0,0,0,Normal
